source_number,name,alt_name,ra,dec,ra_dec,cluster_radius,distance,log_age
225,Ruprecht 79,,09 41.0,-53 51,09 41.0 -53 51,0.2,1979,7.84
226,Ruprecht 80,,09 42.1,-44 01,09 42.1 -44 01,0.13,2500,8.33
227,Ruprecht 82,,09 45.8,-54 00,09 45.8 -54 00,0.1,2455,8.5
228,NGC 3033,,09 48.6,-56 25,09 48.6 -56 25,0.14,922,8.62
229,Ruprecht 84,,09 49.1,-65 15,09 49.1 -65 15,0.12,1800,8.56
230,NGC 3036,,09 49.3,-62 40,09 49.3 -62 40,0.12,1200,8.61
231,Pismis 16,,09 51.2,-53 10,09 51.2 -53 10,0.1,1824,7.72
232,Collinder 213,,09 54.6,-50 55,09 54.6 -50 55,0.15,1400,8.84
233,Ruprecht 85,,10 01.6,-55 01,10 01.6 -55 01,0.1,1400,8.7
234,NGC 3114,,10 02.0,-60 06,10 02.0 -60 06,0.45,911,8.24
235,Loden 28,,10 03.2,-58 09,10 03.2 -58 09,0.2,3950,7.3
236,Loden 1,,10 05.0,-55 48,10 05.0 -55 48,0.18,360,9.29
237,Trumpler 12,,10 06.5,-60 18,10 06.5 -60 18,0.11,1300,8.81
238,Hogg 6,,10 06.6,-60 30,10 06.6 -60 30,0.09,1600,8.61
239,Ruprecht 161,,10 08.8,-61 17,10 08.8 -61 17,0.3,940,8.39
240,vdBergh-Hagen 91,,10 17.3,-58 42,10 17.3 -58 42,0.15,740,8.21
241,NGC 3228,,10 21.4,-51 44,10 21.4 -51 44,0.18,499,8.43
242,Loden 46,,10 23.2,-54 50,10 23.2 -54 50,0.32,540,9.03
243,IC 2581,,10 27.5,-57 38,10 27.5 -57 38,0.18,2446,7.22
244,Ruprecht 89,,10 28.4,-58 08,10 28.4 -58 08,0.1,750,8.98
245,Loden 143,,10 28.4,-58 47,10 28.4 -58 47,0.35,600,8.45
246,Loden 89,,10 29.2,-56 47,10 29.2 -56 47,0.3,380,8.47
247,Loden 59,,10 30.3,-54 04,10 30.3 -54 04,0.16,650,8.45
248,Collinder 223,,10 30.4,-59 49,10 30.4 -59 49,0.15,1686,8.41
249,Ruprecht 90,,10 31.8,-58 14,10 31.8 -58 14,0.18,6000,7.1
250,Loden 112,,10 32.4,-56 42,10 32.4 -56 42,0.14,2500,6.96
251,Loden 153,,10 34.7,-58 08,10 34.7 -58 08,0.1,2670,6.74
252,Bochum 9,,10 35.8,-60 07,10 35.8 -60 07,0.16,710,8.38
253,NGC 3293,,10 35.8,-58 14,10 35.8 -58 14,0.08,2471,6.94
254,NGC 3324,,10 37.3,-58 38,10 37.3 -58 38,0.16,2301,6.72
255,vdBergh-Hagen 99,,10 37.9,-59 08,10 37.9 -59 08,0.32,531,7.86
256,NGC 3330,Harvard 4,10 38.8,-54 07,10 38.8 -54 07,0.19,894,8.3
257,ESO 062-11,,10 38.9,-69 02,10 38.9 -69 02,0.12,910,8.53
258,Melotte 101,,10 42.2,-65 06,10 42.2 -65 06,0.2,1995,8.35
259,IC 2602,theta Car,10 42.4,-64 24,10 42.4 -64 24,2.5,160,7.83
260,Bochum 10,,10 42.4,-59 08,10 42.4 -59 08,0.2,2027,6.93
261,Alessi 5,,10 43.1,-61 10,10 43.1 -61 10,0.3,398,7.71
262,Collinder 228,,10 43.8,-60 05,10 43.8 -60 05,0.35,1909,6.68
263,Trumpler 14,,10 43.9,-59 33,10 43.9 -59 33,0.1,2753,6.67
264,Trumpler 15,,10 44.7,-59 22,10 44.7 -59 22,0.08,2117,7.08
265,Trumpler 16,eta Car,10 45.2,-59 43,10 45.2 -59 43,0.12,2842,6.9
