source_number|name|alt_name|ra|dec|cluster_radius|distance|log_age
434|NGC 6568||18 12.7|-21 36|0.22|1000|8.71
430|vdBergh 113||18 08.9|-21 25|0.23|3470|7.5
139|NGC 2384||07 25.1|-21 01|0.13|2116|7.13
138|NGC 2383||07 24.7|-20 57|0.1|1655|8.64
110|NGC 2287|M 41|06 46.0|-20 46|0.5|693|8.45
146|NGC 2421||07 36.2|-20 37|0.15|2181|7.41
435|Sgr OB7||18 14.9|-20 24|0.9|1860|6.64
165|Ruprecht 34||07 45.9|-20 23|0.16|800|8.9
455|Collinder 394||18 52.4|-20 12|0.43|703|7.86
457|NGC 6716||18 54.5|-19 54|0.14|789|7.47
445|Trumpler 33||18 24.7|-19 43|0.12|1755|7.84
438|Dias 5||18 17.6|-19 40|0.12|1760|7.14
157|NGC 2432||07 41.3|-19 09|0.2|2030|8.18
449|IC 4725|M 25|18 31.7|-19 07|0.6|620|7.83
436|Markarian 38||18 15.5|-19 00|0.14|1545|6.95
422|NGC 6494|M 23|17 57.1|-18 59|0.58|628|8.52
440|NGC 6603|M 24|18 18.4|-18 26|0.12|2880|7.8
452|Ruprecht 145||18 50.6|-18 13|0.37|770|8.64
170|NGC 2479||07 55.1|-17 43|0.15|1200|8.99
143|Bochum 4||07 31.6|-17 11|0.13|872|7.25
130|NGC 2358||07 16.9|-17 09|0.27|630|8.72
443|NGC 6613|M 18|18 20.0|-17 06|0.18|1296|7.52
142|Bochum 5||07 31.0|-16 56|0.22|2000|8.45
124|Haffner 23||07 09.3|-16 55|0.2|1000|8.84
433|NGC 6561||18 10.5|-16 44|0.18|3400|6.92
437|NGC 6596||18 17.5|-16 39|0.17|1100|8.6
152|NGC 2428||07 39.4|-16 32|0.12|2100|8.68
153|NGC 2430||07 39.6|-16 21|0.12|650|8.68
460|Ruprecht 147||19 16.7|-16 18|1.23|175|9.39
158|Ruprecht 151||07 41.3|-16 17|0.2|2100|8.49
